site,label,label 2,label 3
thinkprogress.org,political,,
TomWoods.com,political,unrealiable,
washingtonexaminer.com,political,unreliable, 
weeklystandard.com,political,bias,
yellowhammernews.com,political,,
christianpost.com,reliable,political,
consortiumnews.com,reliable,,
nutritionfacts.org,reliable,,
americantoday.news,rumor,bias,
amtvmedia.com,rumor,unreliable,
bigbluedimension.com,rumor,bias,
christiantimesnewspaper.com,rumor,bias,fake
express.co.uk,rumor,,
loanpride.com,rumor,clickbait,
magafeed.com,rumor,bias,fake
mediazone.news,rumor,unreliable,
megafreshnews.com,rumor,,
newswire-24.com,rumor,unreliable,
pollhype.com,rumor ,clickbait,bias
abriluno.com,satire,fake,
aceflashman.wordpress.com,satire,,
actualidadpanamericana.com,satire,,
adobochronicles.com,satire,,
associatedmediacoverage.com,satire,,
awazetribune.com,satire,,
beehivebugle.com,satire,,
betootaadvocate.com,satire,,
bigamericannews.com,satire,fake,
borowitzreport.com,satire,,
bostontribune.com,satire,fake,
burrardstreetjournal.com,satire,,
callthecops.net,satire,,
celebtricity.com,satire,,
chaser.com.au,satire,,
christwire.org,satire,,
chronicle.su,satire, ,
clickhole.com,satire,,
creambmp.com,satire,fake,
crystalair.com,satire,,
dailycurrant.com,satire,,
dailydiscord.com,satire,,
dailysnark.com,satire,,
dailysquib.co.uk,satire,,
dandygoat.com,satire,,
der-postillon.com,satire,,
derfmagazine.com,satire,,
disclose.tv,satire,conspiracy,
diversitychronicle.wordpress.com,satire,,
duffleblog.com,satire,,
duhprogressive.com,satire,,
elkoshary.com,satire,,
elmundotoday.com,satire,,
empiresports.co,satire,,
empiresports.co,satire,,
fmobserver.com,satire,,
fognews.ru,satire,,
freepatriot.org,satire,,
freewoodpost.com,satire,,
fridaymash.com,satire,,
glossynews.com,satire,,
gomerblog.com,satire,,
holyobserver.com,satire,,
humortimes.com,satire,,
huzlers.com,satire,,
ironictimes.com,satire,,
islamicanews.com,satire,,
johnnyrobish.com,satire,,
landoverbaptist.org,satire,,
liberalbias.com,satire,,
liberaldarkness.com,satire,fake,
lushforlife.com,satire,,
nahadaily.com,satire,,
nationalreport.net,satire,fake,
ncscooper.com,satire,,
newsbiscuit.com,satire,,
newsbreakers.org,satire,,
newsmutiny.com,satire,fake,
newsthump.com,satire,,
newstoad.net,satire,,
newyorker.com/humor,satire,,
objectiveministries.org,satire,,
patriotnewsdaily.com,satire,,
politicops.com,satire,fake,
politicot.com,satire,fake,
reductress.com,satire,,
religionlo.com,satire,,
rockcitytimes.com,satire,,
satiratribune.com,satire,,
satirewire.com,satire,,
scrappleface.com,satire,,
sensationalisttimes.com,satire,,
speld.nl,satire,,
sportspickle.com,satire,,
stneotscitizen.com,satire,,
stuppid.com,satire,,
surrealscoop.com,satire,,
thebeaverton.com,satire,,
thedailymash.co.uk,satire,,
thedailywtf.com,satire,,
thehardtimes.net,satire,,
theineptowl.com,satire,,
thelastlineofdefense.org,satire,,
themadisonmisnomer.com,satire,,
themideastbeast.com,satire,,
thenewsnerd.com,satire,,
theonion.com,satire,,
thepoke.co.uk,satire,,
therightists.com,satire, ,
theseattletribune.com,satire,,
theshovel.com.au,satire,,
theskunk.org,satire,,
thespoof.com,satire,,
